topic,phrase,chinese,seq
Medical Services,public hospitals,公办医院, 648
Medical Services,clinical experience,临床经验, 649
Medical Services,contract an illness,患病, 650
Medical Services,a long waiting list,排长队, 651
Medical Services,improve our health,促进我们的健康, 652
Medical Services,invent new drugs,发明新药物, 653
Medical Services,medical equipment,医疗设备, 654
Medical Services,receive medical treatments,接受医疗, 655
Medical Services,high medical expenses,高医疗费用, 656
Medical Services,medical research,医疗调查, 657
Medical Services,in the pharmacy industry,在医药行业, 658
Medical Services,cure diseases,治愈疾病, 659
Medical Services,previously incurable diseases,以前不可治疗的疾病, 660
Medical Services,waste management,垃圾管理, 661
Medical Services,spread of diseases,传播疾病, 662
Medical Services,infectious/contagious diseases,传染病, 663
Medical Services,healthy living,生活健康, 664
Medical Services,boost public health,提升大众健康, 665
Motivated Students,traditional classrooms,传统的教室, 666
Motivated Students,provide instruction,提供指导, 667
Motivated Students,build confidence,建立信心, 668
Motivated Students,develop a serious interest in,培养强烈的兴趣, 669
Motivated Students,improve life expectancy,延长寿命, 670
Motivated Students,study independently,独立学习, 671
Motivated Students,on a one-on-one basis,在一对一的基础上, 672
Motivated Students,maintain enthusiasm for studies,保持对学习的热情, 673
Motivated Students,keep students interested,保持学生的兴趣, 674
Motivated Students,stay self-motivated,保持热情, 675
Motivated Students,a negative attitude towards schooling,对于学业的负面态度, 676
Motivated Students,lack self-discipline,缺乏自制力, 677
Motivated Students,get distracted,分心, 678
Museums,art museums,艺术博物馆, 679
Museums,exhibit artefacts,展览文物, 680
Museums,a connection to the past,连接历史, 681
Museums,enrich cultural lives,丰富文化生活, 682
Museums,open to the public,对公众开放, 683
Museums,free entry,免费进入, 684
Museums,war museums,战争博物馆, 685
Museums,organise an exhibition,举办一个展览, 686
Museums,cultural heritage,文化遗产, 687
Museums,admission fees,门票, 688
Museums,free admission,免费入场, 689
Music,folk songs,民族歌曲, 690
Music,rock music,摇滚音乐, 691
Music,hit songs,热门歌曲, 692
Music,music lover,音乐爱好者, 693
Music,integrate musical styles,综合各种音乐风格, 694
Music,pop songs,流行歌曲, 695
Music,classical music,古典音乐, 696
Music,pop stars,流行歌手, 697
Music,musical instruments,乐器, 698
Music,cultural differences,文化差异, 699
Music,differ from culture to culture,文化和文化之间的差异, 700
Music,western countries,西方国家, 701
News,news reports,新闻报道, 702
News,news organisations,新闻组织, 703
News,professional reports,专业报道, 704
News,broadcast news,播放新闻, 705
News,news outlets,新闻机构, 706
News,news media,新闻媒体, 707
News,gather first-hand information,收集第一手资料, 708
News,a reliable source of information,一条有可靠来源的信息, 709
News,increase ratings,提高收视率, 710
News,sensationalise crimes,夸大犯罪事实, 711
News,mislead the public,误导公众, 712
News,political pressure,政治压力, 713
News,on the spot,现场, 714
News,expand the readership,拓展读者群体, 715
News,cover up political scandals,掩盖政治性的丑闻, 716
News,fake news,虚假新闻, 717
News,in an opinionated way,带有主观看法, 718
News,conceal the truth,隐瞒真相, 719
Older People,older people,老人, 720
Older People,senior citizens,年长者, 721
Older People,out of touch with the world,跟不上时代, 722
Older People,old-fashioned ideas,过时的观念, 723
Older People,the elderly,老者, 724
Older People,the older generation,老一辈, 725
Older People,resistant to change,抵触改变, 726
Older People,fit into the modern world,适应现代社会, 727
Older People,adopt advanced technology,采用高科技, 728
Older People,life experience,生活经历, 729
Older People,make a rash decision,做轻率的决定, 730
Older People,out of touch with the world,与世界脱节, 731
Older People,hold back social progress,阻碍社会进步, 732
Online News,read news online,在网上看新闻, 733
Online News,check online news,阅读网上新闻, 734
Online News,sensible advice,明智的意见, 735
Online News,take risks,冒险, 736
Online News,risk averse,风险规避, 737
Online News,a source of income,收入来源, 738
Online News,a financial burden on,财政负担, 739
Online News,read news stories,看新闻, 740
Online News,have free time,空闲时间, 741
Online News,keep up to date with what is happening,了解最近发生的事情, 742
Online News,watch videos online,看网络视频, 743
Online News,have faster access to news in real time,更快了解到实时新闻, 744
Online News,the live coverage of,实况转播, 745
Online News,TV news,电视新闻, 746
Online News,the delivery of visual information,视频信息的呈现, 747
Online News,news programmes,新闻节目, 748
Online Shopping,run an online business,经营网络商务, 749
Online Shopping,online shops,网店, 750
Online Shopping,an online auction website,竞买的网站, 751
Online Shopping,the cost of operation,运营成本, 752
Online Shopping,place an order,下单, 753
Online Shopping,offer a replacement,换货, 754
Online Shopping,in the comfort of my home,在家里, 755
Online Shopping,fake products,假货, 756
Online Shopping,shoddy goods,不好的产品, 757
Online Shopping,consumer rights,消费者权益, 758
Online Shopping,a code of practice,行业规范, 759
Online Shopping,a business owner,公司老板, 760
Online Shopping,e-commerce websites,电商网站, 761
Online Shopping,retail outlets,零售店, 762
Online Shopping,answer enquiries,回答问题, 763
Online Shopping,make a payment,付款, 764
Online Shopping,grow business,扩大业务, 765
Online Shopping,fit into my schedule,融入自己的日程表, 766
Online Shopping,faulty goods,有问题的产品, 767
Online Shopping,genuine brands,真货, 768
Online Shopping,buying decisions,购买的决定, 769
Partying,throw a party,举办派对, 770
Partying,go to a party,出席派对, 771
Partying,office party,公司里举行的派对, 772
Partying,birthday party,生日宴会, 773
Partying,birthday present,生日礼物, 774
Partying,refreshing drinks,很好喝的饮料(或者酒), 775
Partying,serve drinks,提供酒水, 776
Partying,farewell party,告别宴会, 777
Partying,host a party,举办派对, 778
Partying,attend parties,出席派对, 779
Partying,dinner party,家里举行的聚餐, 780
Partying,birthday cake,生日蛋糕, 781
Partying,blow out candles,吹蜡烛, 782
Partying,housewarming party,入伙聚餐, 783
Partying,karaoke party,k歌的派对, 784
Photos,take photos,拍照, 785
Photos,take a selfie,拍自拍照, 786
Photos,portable device,可移动设备, 787
Photos,take pictures,拍照, 788
Photos,a photo album,相册, 789
Photos,capture special moments,捕捉特别的瞬间, 790
Photos,relive experiences,重温一些(美好的瞬间或者日子), 791
Photos,upload photos,上传相片, 792
Photos,digital cameras,数码相机, 793
Photos,brighten colours,让颜色更加鲜艳, 794
Photos,social networking websites,社交网站, 795
Photos,edit images,编辑相片, 796
Photos,make slow motion movies,制作慢动作电影, 797
Practical Work,do practical work,做实际工作, 798
Practical Work,prepare for working lives,为工作做准备, 799
Practical Work,work placements,实习, 800
Practical Work,well-suited to a job,很适合一份工作, 801
Practical Work,do part-time work,做兼职工作, 802
Practical Work,graduate from university,大学毕业, 803
Practical Work,leave school,毕业, 804
Practical Work,hands-on experience,实践经验, 805
Practical Work,practical experience,实践经验, 806
Practical Work,pursue a career,从事一份工作, 807
Practical Work,improve practical skills,提高实践能力, 808
Practical Work,adapt to the workplace,适应职场, 809
Practical Work,finish high school,高中毕业, 810
Practical Work,take a gap year,高中毕业后的间隔年, 811
Qualities,the education system,教育系统, 812
Qualities,higher education,高等教育, 813
Qualities,receive training,接受培训, 814
Qualities,a sense of responsibility,责任感, 815
Qualities,the school system,学校系统, 816
Qualities,receive a university education,接受大学教育, 817
Qualities,moral principles,道德准则, 818
Qualities,instill virtues into,向………………灌输美德, 819
Qualities,productive members of society,对社会有贡献的人, 820
Qualities,build character,塑造个人品质, 821
Qualities,develop qualities,培养素质, 822
Qualities,show determination to win,必胜的决心, 823
Qualities,in difficult situations,在恶劣的环境下, 824
Qualities,show perseverance,坚韧不拔, 825
Reduce Poverty,disadvantaged students,贫穷的学生, 826
Reduce Poverty,exempted from tuition fees,免除学费, 827
Reduce Poverty,educational equality,教育的公平, 828
Reduce Poverty,free-interest loans,无利息贷款, 829
Reduce Poverty,break the cycle of poverty,摆脱贫穷, 830
Reduce Poverty,close the economic divide,减少贫富差距, 831
Reduce Poverty,set scholarships,设立奖学金, 832
Reduce Poverty,free education,免费教育, 833
Reduce Poverty,children from poor homes,来自贫穷家庭的孩子, 834
Reduce Poverty,drop out of school,辍学, 835
Reduce Poverty,study at university,在大学学习, 836
Reduce Poverty,financial support,财政支持, 837
Reduce Poverty,bridge the gap between rich and poor,减少贫富差距, 838
Reduce Poverty,public schools,公立学校, 839
Reduce Poverty,student loans,学生贷款, 840
Reduce Poverty,free access to knowledge,免费获取知识, 841
Reduce Poverty,broadband internet services,宽带服务, 842
Reduce Poverty,break the cycle of poverty,打破贫穷的恶性循环, 843
Reduce Poverty,afford tuition fees,能支付学费, 844
Reduce Poverty,reduce poverty,减少贫穷, 845
Reduce Poverty,needy people,贫困的人, 846
Reduce Poverty,charitable organisations,慈善组织, 847
Reduce Poverty,people with disabilities,残疾人, 848
Reduce Poverty,afford basic necessities,买得起基本生活必需品, 849
Reduce Poverty,maintain a basic standard of living,维持基本的生活水平, 850
Reduce Poverty,die needlessly,不必要的死亡, 851
Reduce Poverty,suffer from poor health,生病, 852
Reduce Poverty,receive vocational training,接受职业培训, 853
Reduce Poverty,improve job skills,提高工作能力, 854
Reduce Poverty,close the gap between haves and have-nots,减少贫富差距, 855
Reduce Poverty,racial discrimination,种族歧视, 856
Rules,obey rules,遵守规则, 857
Rules,break/violate rules,破坏规则, 858
Rules,ground rules,基本的规则, 859
Rules,break school rules,破坏校规, 860
Rules,adhere to cultural norms,遵守文化规范, 861
Rules,develop positive habits,形成好的习惯, 862
Rules,comply with rules,遵守规则, 863
Rules,establish/set rules,建立规则, 864
Rules,follow golden rules,遵守黄金规则, 865
Rules,violate norms,不遵守社会规范, 866
Rules,show good behaviour,讲礼貌, 867
Rules,company regulations,公司的规定, 868
Selfish People,give a helping hand,伸出援手, 869
Selfish People,show compassion,同情, 870
Selfish People,behave selfishly,做事自私, 871
Selfish People,with a heart of gold,有颗金子般美好的心, 872
Selfish People,responsive to emotional needs,响应情感需求, 873
Selfish People,driven by self-interest,受自身利益驱使, 874
Selfish People,motivated by greed,出于贪婪, 875
Selfish People,cheat in exams,在考试中作弊, 876
Selfish People,gain an unfair advantage over,获取不公平的优势, 877
Selfish People,make easy money,不劳而获, 878
Selfish People,teach moral values,灌输道德观, 879
Shopping,a strong appetite,需求很高, 880
Shopping,traditional values,传统的价值, 881
Shopping,consumer goods,消费品, 882
Shopping,household appliances,家庭用具, 883
Shopping,online stores,网络商店, 884
Shopping,in the comfort of their homes,在舒适的家里, 885
Shopping,shopping malls,购物中心, 886
Shopping,buy...on impulse,冲动买…………………, 887
Shopping,consumer society,消费社会, 888
Shopping,pay by credit card,用信用卡付账, 889
Shopping,a growing demand,需求很高, 890
Shopping,electrical equipment,电子设备, 891
Shopping,shop online,网络购物, 892
Shopping,online retailers,网络零售商, 893
Shopping,on high streets,在购物街, 894
Shopping,shopping streets,购物街, 895
Shopping,steep discounts,大降价, 896
Shopping,consumer culture,消费文化, 897
Skills,educational games,教育游戏, 898
Skills,set rules,设定规则, 899
Skills,good listening skills,良好的倾听技巧, 900
Skills,communication skills,交流能力, 901
Skills,leadership skills,领导能力, 902
Skills,life skills,生活技能, 903
Skills,young players,年轻球员, 904
Skills,outdoor games,户外运动, 905
Skills,express ideas,表达观点, 906
Skills,improve soft skills,改善软技能, 907
Skills,interpersonal skills,人际技能, 908
Skills,physical skills,运动技能, 909
Skills,basic skills,基本技能, 910
Social Activities,keep fit,保持身材, 911
Social Activities,social activity,社会活动, 912
Social Activities,make new friends,交新的朋友, 913
Social Activities,eat out,外出就餐, 914
Social Activities,talking points,话题, 915
Social Activities,watch soccer games,看足球比赛, 916
Social Activities,lead a healthy life,过健康的生活, 917
Social Activities,gather together,聚一起, 918
Social Activities,go out for a meal,外出聚餐, 919
Social Activities,have a coffee,喝咖啡, 920
Social Activities,sports fans,体育迷, 921
Social Activities,live events,直播赛事, 922
Social Activities,do social activities,参加社会活动, 923
Social Activities,mix with others,和他人来往, 924
Social Life,cultural activities,文化活动, 925
Social Life,social life,社会生活, 926
Social Life,socialise with neighbours,和邻居来往, 927
Social Life,release stress,释放压力, 928
Social Life,forget about work,忘记工作, 929
Social Life,join the choir,参加合唱团, 930
Social Life,visit art galleries,参观艺术馆, 931
Social Life,cut stress,减少压力, 932
Social Life,tasks at hand,手边的工作, 933
Social Life,reduce anxiety,缓解紧张情绪, 934
Social Life,a pleasurable experience,非常有趣的经历, 935
Social Life,join a band,参加乐队, 936
Social Norms,conform to social norms,遵守社会规范, 937
Social Norms,show good manners,有礼貌, 938
Social Norms,complete work on time,准时完成工作, 939
Social Norms,handle enquiries politely,礼貌地处理咨询, 940
Social Norms,good work ethic,好的职业道德, 941
Social Norms,a sense of responsibility,责任感, 942
Social Norms,follow social rules,遵守社会规则, 943
Social Norms,show respect to others,尊重他人, 944
Social Norms,arrive punctually,准时到, 945
Social Norms,late for work,上班迟到, 946
Social Norms,build good working relationships,建立好的工作关系, 947
Space Technology,space missions,太空任务, 948
Space Technology,space science,太空科学, 949
Space Technology,space exploration,太空探索, 950
Space Technology,advance knowledge,先进的知识, 951
Space Technology,habitable planets,适合居住的星球, 952
Space Technology,provide shelter for,为………………提供避难所, 953
Space Technology,used commercially,商业化地使用, 954
Space Technology,in the hostile environment,在恶劣的环境里, 955
Space Technology,travel in outer space,太空旅行, 956
Space Technology,population explosion,人口增长, 957
Space Technology,sustain our civilisation,保护我们的文明, 958
Space Technology,protective clothes,保护衣, 959
Space Technology,on the ground,在地面上, 960
Space Technology,an immediate payoff,马上有回报, 961
Sport,play sport,做运动, 962
Sport,moderate intensity activities,强度适中的运动, 963
Sport,go for a jog,去慢跑, 964
Sport,go for a swim,去游泳, 965
Sport,increase blood circulation,促进血液循环, 966
Sport,keep a good body shape,保持好的身材, 967
Sport,lead an inactive life,不运动的生活, 968
Sport,extreme sports,极限运动, 969
Sport,gentle physical exercise,温和的身体锻炼, 970
Sport,mild exercise,温和的锻炼(不刺激的运动), 971
Sport,take a brisk walk,去快跑, 972
Sport,burn calories,燃烧卡路里, 973
Sport,build strength,增强体力, 974
Sport,improve health,促进身体健康, 975
Sport,suffer injuries,受伤, 976
Sport,professional trainers,专业的教练, 977
Stress,economic pressure,经济压力, 978
Stress,combine work and family commitments,协调好工作和家庭之间的关系, 979
Stress,work commitments,工作投入, 980
Stress,find time,找到时间, 981
Stress,reduce stress,减少压力, 982
Stress,a source of stress,压力的来源, 983
Stress,feel relaxed,感到轻松, 984
Stress,material goods,物质的东西, 985
Stress,time management skills,时间管理, 986
Stress,financial difficulties,财政困难, 987
Stress,a tight schedule,时间很紧, 988
Stress,put a severe strain on,对………………施加更大的压力, 989
Stress,cope with stress,应付压力, 990
Stress,feel stressed,感到压力, 991
Stress,cost of living,生活费用, 992
Stress,avoid procrastination,避免拖延, 993
Study Abroad,go overseas,到国外, 994
Study Abroad,study abroad,出国学习, 995
Study Abroad,in a globalised world,在全球化的世界中, 996
Study Abroad,from diverse backgrounds,来自不同背景, 997
Study Abroad,pick up a foreign language,学习一门外语, 998
Study Abroad,master another language,精通另一门语言, 999
Study Abroad,fluent in the first language,母语流利, 1000
Study Abroad,immerse themselves in a foreign language,将他们自己浸泡在一门外语里, 1001
Study Abroad,language skills,语言能力, 1002
Study Abroad,prestigious universities,著名大学, 1003
Study Abroad,multinational enterprises,跨国企业, 1004
Study Abroad,expand horizons,开阔视野, 1005
Study Abroad,have a broader view of life,人生的视野更加开阔, 1006
Study Abroad,experience the world,感受世界, 1007
Talent,specialise in a subject,专注于一个学科, 1008
Talent,career prospects,职业前景, 1009
Talent,career opportunities,工作机会, 1010
Talent,bright students,聪明的学生, 1011
Talent,a natural talent in,在………………方面天生的才能, 1012
Talent,do calculations,做计算, 1013
Talent,study a subject,学习一门学科, 1014
Talent,well-paid jobs,待遇优厚的工作, 1015
Talent,develop a talent,发展特长, 1016
Talent,academically gifted,学习上有天赋, 1017
Talent,mathematical talents,数学才能, 1018
Talent,build expertise,建立专业知识, 1019
Talent,put...in an advantageous position,把………………放在有利位置, 1020
Talent,tedious job,一个乏味的工作, 1021
Teachers/Schools,teach courses,教课, 1022
Teachers/Schools,teach subjects,教课, 1023
Teachers/Schools,the school system/the education system,教育系统, 1024
Teachers/Schools,receive a well-rounded education,学习全面的知识, 1025
Teachers/Schools,start school,上学, 1026
Teachers/Schools,core subjects,主科, 1027
Teachers/Schools,enter university,上大学, 1028
Teachers/Schools,engage children,激励孩子们, 1029
Teachers/Schools,attend school,上学, 1030
Teachers/Schools,learning outcomes,学习效果, 1031
Teachers/Schools,the school curriculum,学校课程/课程大纲, 1032
Teachers/Schools,attend university,上大学, 1033
Teachers/Schools,lively and stimulating,生动又新颖的, 1034
Teachers/Schools,class activities,课堂活动, 1035
Teachers/Schools,curriculum content,课程内容, 1036
Teamwork,work collaboratively,一起工作, 1037
Teamwork,work as a team,一个团队一起工作, 1038
Teamwork,team assignments,团队作业, 1039
Teamwork,raising money for charity,为慈善机构筹款, 1040
Teamwork,save/shorten time,节省时间, 1041
Teamwork,complete a project,完成项目, 1042
Teamwork,uncover benefits,发现(别人的)贡献, 1043
Teamwork,work closely with,和………………密切合作, 1044
Teamwork,team projects,团队项目, 1045
Teamwork,team sport,团队运动, 1046
Teamwork,collaborative teamwork,团队合作, 1047
Teamwork,divide the effort,分担任务, 1048
Teamwork,embark on another team project,开始一个团队项目, 1049
Teamwork,make decisions as a group,团队一起做决定, 1050
Technology,technological advances,科技的进步, 1051
Technology,state-funded scientific research,政府资助的科学研究, 1052
Technology,scientific institutions,科学机构, 1053
Technology,technological innovations,技术的创新, 1054
Technology,advanced technology,先进科技, 1055
Technology,state-of-the-art technology,最新技术, 1056
Technology,technological breakthroughs,技术突破, 1057
Technology,improve the environment,保护环境, 1058
Technology,medical advances,医学进步, 1059
Technology,technological change,技术的改变, 1060
Technology,new technology,新技术, 1061
Technology,cutting-edge technology,高新技术, 1062
Technology,the hi-tech industry,高新技术产业, 1063
Technology,reduce diseases,减少疾病, 1064
Technology,fight hunger,减少饥荒, 1065
Technology,space technology,太空技术, 1066
Telecommunications,telecommunications technology,电信技术, 1067
Telecommunications,mobile devices,移动设备, 1068
Telecommunications,instant messaging,即时消息, 1069
Telecommunications,on the phone,在手机上, 1070
Telecommunications,fax machines,传真机, 1071
Telecommunications,the access to Internet services,接入互联网服务, 1072
Telecommunications,maintain a lifelong relationship,保持终身的关系, 1073
Telecommunications,stay in touch with,和………………保持联系, 1074
Telecommunications,use a mobile phone,使用移动电话, 1075
Telecommunications,text messaging,短信, 1076
Telecommunications,via email,通过电子邮件, 1077
Telecommunications,on the computer,在电脑上, 1078
Telecommunications,online services,在线服务, 1079
Telecommunications,travel by air,乘飞机旅行, 1080
Telecommunications,forge a strong relationship,形成牢固的关系, 1081
Teleworking,work from home,在家远程办公, 1082
Teleworking,work at home,在家工作(工作地点是自己的家), 1083
Teleworking,paperless office,"使用现代办公设备(如传真机和电脑)的办公室,也可以说“无纸办公室”", 1084
Teleworking,travel to and from work,上下班, 1085
Teleworking,stay self-motivated,保持积极性, 1086
Teleworking,enter the workforce,参加工作, 1087
Teleworking,flexible working hours,灵活的工作时间, 1088
Teleworking,sacrifice family life,牺牲家庭生活, 1089
Teleworking,show discipline,自律, 1090
Teleworking,show initiative,表现主动性, 1091
Teleworking,combine work and raising a family,兼顾工作和家庭, 1092
Teleworking,work commitments,工作的责任, 1093
Tourism,create revenues,产生收入, 1094
Tourism,tourist attractions,旅游胜地, 1095
Tourism,the tourist sector,旅游业, 1096
Tourism,attract tourists,吸引游客, 1097
Tourism,tourist destinations,旅游目的地, 1098
Tourism,go sightseeing,去观光, 1099
Tourism,a driver of economic growth,一个经济增长的驱动力, 1100
Tourism,an important part of the economy,经济的重要组成部分, 1101
Tourism,a source of income,收入来源, 1102
Tourism,create jobs,创造就业机会, 1103
Tourism,create employment/generate employment,创造就业机会, 1104
Tourism,charge admission fees,收取门票, 1105
Traffic Congestion,reduce traffic congestion,减少交通阻塞, 1106
Traffic Congestion,rush-hour traffic,高峰期的交通, 1107
Traffic Congestion,within walking distance,步行就可以到, 1108
Traffic Congestion,driving license,驾驶执照, 1109
Traffic Congestion,car ownership,拥有汽车, 1110
Traffic Congestion,congestion tax,交通阻塞税, 1111
Traffic Congestion,creative industry,创意产业, 1112
Traffic Congestion,cope with traffic jams,处理交通阻塞, 1113
Traffic Congestion,cycle to work,骑自行车去上班, 1114
Traffic Congestion,driving test,驾照考试, 1115
Traffic Congestion,curb private car use,限制私人汽车的使用, 1116
Traffic Congestion,fuel tax,汽油税, 1117
Traffic Congestion,broaden roads,扩宽道路, 1118
Traffic Congestion,build new roads,修路, 1119
Traffic Congestion,use public transport,使用公共交通, 1120
Traffic Congestion,car pooling,拼车, 1121
Transportation,drive cars,开车, 1122
Transportation,travel by air,坐飞机, 1123
Transportation,private car use,私家车的使用, 1124
Transportation,ways to get around,出行的方式, 1125
Transportation,get to and from work,上下班, 1126
Transportation,travel a long distance,走很长的路程, 1127
Transportation,travel to the central office,去中心办公区, 1128
Transportation,raise standards,提升标准, 1129
Transportation,pedestrianise streets,步行街, 1130
Transportation,reduce car emissions,减少汽车尾气, 1131
Transportation,travel by car,开车旅行, 1132
Transportation,travel by tube,坐地铁, 1133
Transportation,means/modes of travel,旅行方式, 1134
Transportation,use public transport,使用公共交通工具, 1135
Transportation,daily commuters,上班族, 1136
Transportation,suburban commuters,郊区的上班族, 1137
Trees,plant trees,种树, 1138
Trees,tree-lined avenues,林荫大道, 1139
Trees,a view of nature,自然景观, 1140
Trees,provide the shade,提供阴凉, 1141
Trees,absorb dust,吸尘, 1142
Trees,plant life,植物, 1143
Trees,cut down trees,砍树, 1144
Trees,lined with trees,(街道)两边种满了树, 1145
Trees,feel close to nature,亲近自然, 1146
Trees,provide shelter,提供休憩处, 1147
Trees,evergreen trees,常青树, 1148
Trees,flower garden,花园, 1149
University Subjects,offer employment possibilities,提供就业机会, 1150
University Subjects,complete degree courses,完成学业, 1151
University Subjects,an investment of time and money,投入时间和金钱, 1152
University Subjects,take subject courses,上专业课, 1153
University Subjects,fill knowledge gap,填补(劳动力市场上的)知识空白, 1154
University Subjects,pursue a career,从事一份工作, 1155
University Subjects,academic courses,学术课程, 1156
University Subjects,preferred areas of study,偏爱的学习领域, 1157
University Subjects,passionate about,对………………有热情, 1158
University Subjects,develop talents,发掘天赋, 1159
University Subjects,financial circumstances,财政情况, 1160
University Subjects,vocational courses,职业课程, 1161
University Subjects,areas of knowledge,领域知识, 1162
University Subjects,match interests,符合兴趣, 1163
University Subjects,study with enthusiasm,有兴趣去学习, 1164
University Subjects,career success,事业上的成功, 1165
University Subjects,employment opportunities,就业机会, 1166
Urbanisation,relocate to cities,搬去城市, 1167
Urbanisation,keep pace with the demand,满足需求, 1168
Urbanisation,afford home ownership,买得起房子, 1169
Urbanisation,reduce the quality of life,影响生活质量, 1170
Urbanisation,a growing population,不断增长的人口, 1171
Urbanisation,population expansion,人口扩张, 1172
Urbanisation,put pressure on,增加压力, 1173
Urbanisation,public transport service,公共交通服务, 1174
Urbanisation,transport costs,交通费用, 1175
Urbanisation,population is mobile,人口流动大, 1176
Urbanisation,valuable services/ essential services,和民生有关的服务, 1177
Waste,consumer goods,消费者商品, 1178
Waste,consumer products,消费者产品, 1179
Waste,contaminate the environment,污染环境, 1180
Waste,industrial waste,工业浪费, 1181
Waste,drop litter,扔垃圾, 1182
Waste,incinerate waste,焚烧垃圾, 1183
Waste,enter the food chain,进入食物链, 1184
Waste,household goods,家庭用品, 1185
Waste,end up in landfill sites,填埋在垃圾场, 1186
Waste,household waste,家庭垃圾, 1187
Waste,household rubbish,家庭垃圾, 1188
Waste,dump waste,扔垃圾, 1189
Waste,dispose of waste,处理垃圾, 1190
Waste,hazardous waste,有害的垃圾, 1191
Water,fresh water,淡水, 1192
Water,tap water,自来水, 1193
Water,a threat to public health,一个对公众健康的威胁, 1194
Water,water pollution,水污染, 1195
Water,contaminate water,污染水, 1196
Water,heavily polluted,污染严重, 1197
Water,a clean water supply,一个干净水源, 1198
Water,bottled water,瓶装水, 1199
Water,soil erosion,水土流失, 1200
Water,untreated sewage,未经处理的废水, 1201
Water,underground water,地下水, 1202
Water,boil water,开水, 1203
Water,poor sanitation,恶劣的卫生状况, 1204
Water,water consumption,耗水量, 1205
Water,efficiency in water use,有效用水, 1206
Wildlife Preservation,human activities,人类活动, 1207
Wildlife Preservation,destroy the forest,破坏森林, 1208
Wildlife Preservation,oil drilling,开采石油, 1209
Wildlife Preservation,biodiversity loss,生物多样性下降, 1210
Wildlife Preservation,the loss of biodiversity,生物多样性的缺失, 1211
Wildlife Preservation,endangered species,濒危物种, 1212
Wildlife Preservation,poor farming practices,不好的耕种模式, 1213
Wildlife Preservation,mine coal,开采煤田, 1214
Wildlife Preservation,animal die out,动物灭绝, 1215
Wildlife Preservation,intensive farming,密集耕种, 1216
Wildlife Preservation,improve biodiversity,改善生物多样性, 1217
Wildlife Preservation,rare animals,稀有物种, 1218
Wildlife Preservation,cause damage to the environment,对环境造成危害, 1219
Wildlife Preservation,toxic chemicals,有毒的化学品, 1220
Wildlife Preservation,habitat destruction,栖息地破坏, 1221
Wildlife Preservation,on the verge of extinction,濒临灭绝, 1222
Wildlife Preservation,face a high risk of extinction,面临很高的灭绝风险, 1223
Women in the Workforce,male-dominated industries,男性占主导地位的行业, 1224
Women in the Workforce,clerical work,白领工作, 1225
Women in the Workforce,juggle different roles,扮演不同的角色, 1226
Women in the Workforce,balance work and family commitments,平衡工作和家庭责任的关系, 1227
Women in the Workforce,domestic responsibilities,家庭责任, 1228
Women in the Workforce,child-rearing duties,抚养孩子的责任, 1229
Women in the Workforce,high-paying industries,高薪行业, 1230
Women in the Workforce,a fulfilling career,令人满意的事业, 1231
Women in the Workforce,maternity leave,产假, 1232
Women in the Workforce,career choices,职业选择, 1233
Women in the Workforce,domestic work,家务活, 1234
Women in the Workforce,raise children,抚养孩子, 1235
Women in the Workforce,advance one's career,发展某人的事业, 1236
Women in the Workforce,career success,事业成功, 1237
Women in the Workforce,physically demanding jobs/manual work,体力活, 1238
Work Overtime,work unsocial hours,非正常时间上班, 1239
Work Overtime,work long hours,长时间工作, 1240
Work Overtime,lack of sleep,缺乏睡眠, 1241
Work Overtime,suffer from insomnia,失眠, 1242
Work Overtime,physical activity,身体锻炼, 1243
Work Overtime,health problems,健康问题, 1244
Work Overtime,work overtime,加班工作, 1245
Work Overtime,high-stress jobs,压力大的工作, 1246
Work Overtime,sleep deprivation,缺乏睡眠, 1247
Work Overtime,do exercise,运动, 1248
Work Overtime,in poor health,身体状况不好, 1249
Zoo,animal in captivity,被关住的动物, 1250
Zoo,lose freedom,失去自由, 1251
Zoo,natural behaviour,天生的行为, 1252
Zoo,fierce animals,猛兽, 1253
Zoo,in the wild,在野外, 1254
Zoo,locked in cages,被关在笼子里, 1255
Zoo,freedom is restricted,自由受到限制, 1256
Zoo,hunting instincts,狩猎的天性, 1257
Zoo,reintroduce species,将动物放回(野外), 1258
Zoo,human-caused disturbances,人类(对动物造成)的干扰, 1259
Zoo,manmade environment,人工环境, 1260
Zoo,illegal hunting,非法狩猎, 1261
Zoo,animal testing,动物实验, 1262
Zoo,raise pets,养宠物, 1263
Zoo,artificial environment,人工环境, 1264
Zoo,exhibit animals,展出动物, 1265
Zoo,kill animals for meat,杀动物来吃肉, 1266
